,date, Revenue , EPS , NetIncome , GrossProfit , OperatingIncome , EBITDA , Stock price  
0,2008-12-31,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,   -     
1,2009-06-30,$27.00,$0.00,-$11.00,$2.00,-$8.00,-$8.00,   -     
2,2009-09-30,$46.00,$0.00,-$5.00,$8.00,-$4.00,-$2.00,   -     
3,2009-12-31,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,   -     
4,2010-03-31,$21.00,-$1.00,-$30.00,$4.00,-$26.00,-$24.00,   -     
5,2010-06-30,$28.00,-$1.00,-$39.00,$6.00,-$31.00,-$29.00,$5.00
6,2010-09-30,$31.00,$0.00,-$35.00,$9.00,-$38.00,-$35.00,$4.00
7,2010-12-31,$36.00,$1.00,-$51.00,$11.00,-$52.00,-$49.00,$5.00
8,2011-03-31,$49.00,$0.00,-$49.00,$18.00,-$47.00,-$44.00,$6.00
9,2011-06-30,$58.00,$0.00,-$59.00,$19.00,-$59.00,-$54.00,$6.00
10,2011-09-30,$58.00,$0.00,-$65.00,$17.00,-$64.00,-$60.00,$5.00
11,2011-12-31,$39.00,$0.00,-$81.00,$8.00,-$81.00,-$76.00,$6.00
12,2012-03-31,$30.00,$0.00,-$90.00,$10.00,-$89.00,-$85.00,$7.00
13,2012-06-30,$27.00,$0.00,-$106.00,$5.00,-$106.00,-$102.00,$6.00
14,2012-09-30,$50.00,$0.00,-$111.00,-$9.00,-$108.00,-$101.00,$6.00
15,2012-12-31,$306.00,$0.00,-$90.00,$24.00,-$91.00,-$78.00,$7.00
16,2013-03-31,$562.00,  -    ,$11.00,$96.00,-$6.00,$12.00,$8.00
17,2013-06-30,$405.00,$0.00,-$31.00,$100.00,-$12.00,$18.00,$21.00
18,2013-09-30,$431.00,$0.00,-$38.00,$103.00,-$31.00,$2.00,$39.00
19,2013-12-31,$615.00,$0.00,-$16.00,$157.00,-$13.00,$28.00,$30.00
20,2014-03-31,$621.00,$0.00,-$50.00,$155.00,-$44.00,$9.00,$42.00
21,2014-06-30,$769.00,$0.00,-$62.00,$213.00,-$29.00,$50.00,$48.00
22,2014-09-30,$852.00,$0.00,-$75.00,$252.00,-$39.00,$49.00,$49.00
23,2014-12-31,$957.00,$0.00,-$108.00,$262.00,-$75.00,$7.00,$44.00
24,2015-03-31,$940.00,$0.00,-$154.00,$260.00,-$102.00,-$7.00,$38.00
25,2015-06-30,$955.00,$0.00,-$184.00,$213.00,-$170.00,-$63.00,$54.00
26,2015-09-30,$937.00,$0.00,-$230.00,$231.00,-$184.00,-$56.00,$50.00
27,2015-12-31,"$1,214.00",-$1.00,-$320.00,$219.00,-$260.00,-$90.00,$48.00
28,2016-03-31,"$1,147.00",$0.00,-$282.00,$252.00,-$248.00,-$71.00,$45.00
29,2016-06-30,"$1,270.00",$0.00,-$293.00,$275.00,-$238.00,-$34.00,$42.00
30,2016-09-30,"$2,298.00",$0.00,$22.00,$637.00,$86.00,$394.00,$41.00
31,2016-12-31,"$2,285.00",$0.00,-$121.00,$435.00,-$267.00,$85.00,$43.00
32,2017-03-31,"$2,696.00",$0.00,-$330.00,$668.00,-$258.00,$151.00,$56.00
33,2017-06-30,"$2,790.00",$0.00,-$336.00,$667.00,-$241.00,$184.00,$72.00
34,2017-09-30,"$2,985.00",-$1.00,-$619.00,$449.00,-$535.00,-$142.00,$68.00
35,2017-12-31,"$3,288.00",-$1.00,-$676.00,$439.00,-$598.00,-$98.00,$62.00
36,2018-03-31,"$3,409.00",-$1.00,-$710.00,$457.00,-$597.00,-$141.00,$53.00
37,2018-06-30,"$4,002.00",-$1.00,-$718.00,$619.00,-$621.00,-$101.00,$69.00
38,2018-09-30,"$6,824.00",$0.00,$311.00,"$1,524.00",$416.00,$965.00,$53.00
39,2018-12-31,"$7,226.00",$0.00,$140.00,"$1,443.00",$414.00,$949.00,$67.00
40,2019-03-31,"$4,541.00",-$1.00,-$710.00,$566.00,-$522.00,-$14.00,$56.00
41,2019-06-30,"$6,350.00",$0.00,-$408.00,$921.00,-$167.00,$454.00,$45.00
42,2019-09-30,"$6,303.00",$0.00,$143.00,"$1,191.00",$261.00,$847.00,$48.00
43,2019-12-31,"$7,384.00",$0.00,$105.00,"$1,391.00",$359.00,$986.00,$84.00
44,2020-03-31,"$5,985.00",$0.00,$16.00,"$1,234.00",$283.00,$836.00,$105.00
45,2020-06-30,"$6,036.00",$0.00,$104.00,"$1,267.00",$327.00,$894.00,$216.00
46,2020-09-30,"$8,771.00",$0.00,$300.00,"$2,063.00",$809.00,"$1,537.00",$429.00
47,2020-12-31,"$10,744.00",$0.00,$270.00,"$2,066.00",$575.00,"$1,229.00",$706.00
48,2021-03-31,"$10,389.00",$0.00,$438.00,"$2,215.00",$594.00,"$1,215.00",$668.00
49,2021-06-30,"$11,958.00",$1.00,"$1,142.00","$2,884.00","$1,312.00","$1,993.00",$680.00
50,2021-09-30,,,,,,,$792.00
51,2021-12-31,,,,,,,$882.00
52,2022-03-31,,,,,,,$971.00
53,2022-06-30,,,,,,,"$1,060.00"
54,2022-09-30,,,,,,,"$1,150.00"
55,2022-12-31,,,,,,,"$1,241.00"
56,2023-03-31,,,,,,,"$1,329.00"
57,2023-06-30,,,,,,,"$1,418.00"
58,2023-09-30,,,,,,,"$1,508.00"
59,2023-12-31,,,,,,,"$1,599.00"
60,2024-03-31,,,,,,,"$1,688.00"
61,2024-06-30,,,,,,,"$1,777.00"
62,2024-09-30,,,,,,,"$1,868.00"
